best_epoch,best_epoch/train/accuracy,best_epoch/train/auroc,best_epoch/train/f1,best_epoch/train/loss,best_epoch/train/precision,best_epoch/train/recall,best_epoch/val/accuracy,best_epoch/val/auroc,best_epoch/val/f1,best_epoch/val/loss,best_epoch/val/precision,best_epoch/val/recall,epoch,lr-Adam,step,train/accuracy,train/auroc,train/f1,train/loss,train/precision,train/recall,val/accuracy,val/auroc,val/f1,val/loss,val/precision,val/recall
,,,,,,,,,,,,,,0.001,0,,,,,,,,,,,,
0.0,,,,,,,,,,0.27270981669425964,,,0,,84,0.9003616571426392,0.5091961026191711,0.4916783571243286,,0.49886631965637207,0.4996352791786194,0.9207231998443604,0.5572105646133423,0.4793627858161926,0.27270981669425964,0.4603615999221802,0.5
,,,,,,,,,,,,,0,,84,,,,0.3395526707172394,,,,,,,,
,,,,,,,,,,,,,,0.001,85,,,,,,,,,,,,
1.0,0.9003616571426392,0.5091961026191711,0.4916783571243286,0.3395526707172394,0.49886631965637207,0.4996352791786194,0.9207231998443604,0.5572105646133423,0.4793627858161926,0.2942467927932739,0.4603615999221802,0.5,1,,169,0.920715868473053,0.5337645411491394,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4751199781894684,0.4793627858161926,0.2942467927932739,0.4603615999221802,0.5
,,,,,,,,,,,,,1,,169,,,,0.27596038579940796,,,,,,,,
,,,,,,,,,,,,,,0.001,170,,,,,,,,,,,,
,,,,,,,,,,,,,2,,254,0.920715868473053,0.5254011154174805,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49711060523986816,0.4793627858161926,0.27709686756134033,0.4603615999221802,0.5
,,,,,,,,,,,,,2,,254,,,,0.2781553268432617,,,,,,,,
,,,,,,,,,,,,,,0.001,255,,,,,,,,,,,,
,,,,,,,,,,,,,3,,339,0.920715868473053,0.5239948034286499,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49597999453544617,0.4793627858161926,0.2754283845424652,0.4603615999221802,0.5
,,,,,,,,,,,,,3,,339,,,,0.277972549200058,,,,,,,,
,,,,,,,,,,,,,,0.001,340,,,,,,,,,,,,
,,,,,,,,,,,,,4,,424,0.920715868473053,0.5279245972633362,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4829881191253662,0.4793627858161926,0.28745022416114807,0.4603615999221802,0.5
,,,,,,,,,,,,,4,,424,,,,0.27728575468063354,,,,,,,,
,,,,,,,,,,,,,,0.001,425,,,,,,,,,,,,
,,,,,,,,,,,,,5,,509,0.920715868473053,0.5305359959602356,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4881836175918579,0.4793627858161926,0.2732833921909332,0.4603615999221802,0.5
,,,,,,,,,,,,,5,,509,,,,0.27753907442092896,,,,,,,,
,,,,,,,,,,,,,,0.001,510,,,,,,,,,,,,
,,,,,,,,,,,,,6,,594,0.920715868473053,0.5261728763580322,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49658501148223877,0.4793627858161926,0.2728714346885681,0.4603615999221802,0.5
,,,,,,,,,,,,,6,,594,,,,0.2769915461540222,,,,,,,,
,,,,,,,,,,,,,,0.001,595,,,,,,,,,,,,
,,,,,,,,,,,,,7,,679,0.920715868473053,0.5180457830429077,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4775136113166809,0.4793627858161926,0.27293235063552856,0.4603615999221802,0.5
,,,,,,,,,,,,,7,,679,,,,0.2787492275238037,,,,,,,,
,,,,,,,,,,,,,,0.001,680,,,,,,,,,,,,
,,,,,,,,,,,,,8,,764,0.920715868473053,0.5178952217102051,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4851120114326477,0.4793627858161926,0.2772539258003235,0.4603615999221802,0.5
,,,,,,,,,,,,,8,,764,,,,0.2778315842151642,,,,,,,,
,,,,,,,,,,,,,,0.001,765,,,,,,,,,,,,
,,,,,,,,,,,,,9,,849,0.920715868473053,0.5193100571632385,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.48580965399742126,0.4793627858161926,0.27659809589385986,0.4603615999221802,0.5
,,,,,,,,,,,,,9,,849,,,,0.2769303619861603,,,,,,,,
,,,,,,,,,,,,,,0.001,850,,,,,,,,,,,,
,,,,,,,,,,,,,10,,934,0.920715868473053,0.5276291966438293,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.48728081583976746,0.4793627858161926,0.27351799607276917,0.4603615999221802,0.5
,,,,,,,,,,,,,10,,934,,,,0.2776235342025757,,,,,,,,
,,,,,,,,,,,,,,0.001,935,,,,,,,,,,,,
,,,,,,,,,,,,,11,,1019,0.920715868473053,0.5247620344161987,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4944634437561035,0.4793627858161926,0.2737310826778412,0.4603615999221802,0.5
