best_epoch,best_epoch/train/accuracy,best_epoch/train/auroc,best_epoch/train/f1,best_epoch/train/loss,best_epoch/train/precision,best_epoch/train/recall,best_epoch/val/accuracy,best_epoch/val/auroc,best_epoch/val/f1,best_epoch/val/loss,best_epoch/val/precision,best_epoch/val/recall,epoch,lr-Adam,step,train/accuracy,train/auroc,train/f1,train/loss,train/precision,train/recall,val/accuracy,val/auroc,val/f1,val/loss,val/precision,val/recall
,,,,,,,,,,,,,,0.001,0,,,,,,,,,,,,
0.0,,,,,,,,,,0.2737375497817993,,,0,,84,0.9204376935958862,0.5179523229598999,0.4798664450645447,,0.522866427898407,0.5001161694526672,0.9207231998443604,0.49370265007019043,0.4793627858161926,0.2737375497817993,0.4603615999221802,0.5
,,,,,,,,,,,,,0,,84,,,,0.2925909459590912,,,,,,,,
,,,,,,,,,,,,,,0.001,85,,,,,,,,,,,,
1.0,0.9204376935958862,0.5179523229598999,0.4798664450645447,0.2925909459590912,0.522866427898407,0.5001161694526672,0.9207231998443604,0.49370265007019043,0.4793627858161926,0.2771557867527008,0.4603615999221802,0.5,1,,169,0.920715868473053,0.5214360952377319,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5065115690231323,0.4793627858161926,0.2771557867527008,0.4603615999221802,0.5
,,,,,,,,,,,,,1,,169,,,,0.2788953185081482,,,,,,,,
,,,,,,,,,,,,,,0.001,170,,,,,,,,,,,,
,,,,,,,,,,,,,2,,254,0.920715868473053,0.5270532369613647,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.507339596748352,0.4793627858161926,0.27713078260421753,0.4603615999221802,0.5
,,,,,,,,,,,,,2,,254,,,,0.2779132127761841,,,,,,,,
,,,,,,,,,,,,,,0.001,255,,,,,,,,,,,,
,,,,,,,,,,,,,3,,339,0.920715868473053,0.5312645435333252,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4979611039161682,0.4793627858161926,0.273250013589859,0.4603615999221802,0.5
,,,,,,,,,,,,,3,,339,,,,0.2771782875061035,,,,,,,,
,,,,,,,,,,,,,,0.001,340,,,,,,,,,,,,
,,,,,,,,,,,,,4,,424,0.920715868473053,0.4989263117313385,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5038459300994873,0.4793627858161926,0.27502015233039856,0.4603615999221802,0.5
,,,,,,,,,,,,,4,,424,,,,0.2811349332332611,,,,,,,,
,,,,,,,,,,,,,,0.001,425,,,,,,,,,,,,
,,,,,,,,,,,,,5,,509,0.920715868473053,0.5379807949066162,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5606061220169067,0.4793627858161926,0.27184849977493286,0.4603615999221802,0.5
,,,,,,,,,,,,,5,,509,,,,0.2767629623413086,,,,,,,,
,,,,,,,,,,,,,,0.001,510,,,,,,,,,,,,
,,,,,,,,,,,,,6,,594,0.920715868473053,0.5161634087562561,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4860599935054779,0.4793627858161926,0.2749963402748108,0.4603615999221802,0.5
,,,,,,,,,,,,,6,,594,,,,0.2780708968639374,,,,,,,,
,,,,,,,,,,,,,,0.001,595,,,,,,,,,,,,
,,,,,,,,,,,,,7,,679,0.920715868473053,0.5201391577720642,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5083174109458923,0.4793627858161926,0.27555862069129944,0.4603615999221802,0.5
,,,,,,,,,,,,,7,,679,,,,0.2771768271923065,,,,,,,,
,,,,,,,,,,,,,,0.001,680,,,,,,,,,,,,
,,,,,,,,,,,,,8,,764,0.920715868473053,0.5353246927261353,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.48407238721847534,0.4793627858161926,0.2756160497665405,0.4603615999221802,0.5
,,,,,,,,,,,,,8,,764,,,,0.27641814947128296,,,,,,,,
,,,,,,,,,,,,,,0.001,765,,,,,,,,,,,,
,,,,,,,,,,,,,9,,849,0.920715868473053,0.5303801894187927,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5616166591644287,0.4793627858161926,0.2718619108200073,0.4603615999221802,0.5
,,,,,,,,,,,,,9,,849,,,,0.27541667222976685,,,,,,,,
,,,,,,,,,,,,,,0.001,850,,,,,,,,,,,,
,,,,,,,,,,,,,10,,934,0.920715868473053,0.5263094902038574,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49291300773620605,0.4793627858161926,0.2727910280227661,0.4603615999221802,0.5
,,,,,,,,,,,,,10,,934,,,,0.27709895372390747,,,,,,,,
,,,,,,,,,,,,,,0.001,935,,,,,,,,,,,,
,,,,,,,,,,,,,11,,1019,0.920715868473053,0.5371742844581604,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5546097755432129,0.4793627858161926,0.27411675453186035,0.4603615999221802,0.5
,,,,,,,,,,,,,11,,1019,,,,0.2767470180988312,,,,,,,,
,,,,,,,,,,,,,,0.001,1020,,,,,,,,,,,,
,,,,,,,,,,,,,12,,1104,0.920715868473053,0.5278536081314087,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5483977794647217,0.4793627858161926,0.271954745054245,0.4603615999221802,0.5
,,,,,,,,,,,,,12,,1104,,,,0.27732324600219727,,,,,,,,
,,,,,,,,,,,,,,0.001,1105,,,,,,,,,,,,
,,,,,,,,,,,,,13,,1189,0.920715868473053,0.5304803848266602,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.557624101638794,0.4793627858161926,0.27204111218452454,0.4603615999221802,0.5
,,,,,,,,,,,,,13,,1189,,,,0.2763022780418396,,,,,,,,
,,,,,,,,,,,,,,0.001,1190,,,,,,,,,,,,
,,,,,,,,,,,,,14,,1274,0.920715868473053,0.5381265878677368,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49990105628967285,0.4793627858161926,0.2735808491706848,0.4603615999221802,0.5
,,,,,,,,,,,,,14,,1274,,,,0.2761317193508148,,,,,,,,
,,,,,,,,,,,,,,0.001,1275,,,,,,,,,,,,
,,,,,,,,,,,,,15,,1359,0.920715868473053,0.515720009803772,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.49256631731987,0.4793627858161926,0.27479398250579834,0.4603615999221802,0.5
,,,,,,,,,,,,,15,,1359,,,,0.2779301702976227,,,,,,,,
,,,,,,,,,,,,,,0.001,1360,,,,,,,,,,,,
,,,,,,,,,,,,,16,,1444,0.920715868473053,0.5318371057510376,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5644422769546509,0.4793627858161926,0.2723919153213501,0.4603615999221802,0.5
,,,,,,,,,,,,,16,,1444,,,,0.2773997485637665,,,,,,,,
